E2F1,E2F1errors,E2F4,E2F4errors
0.071630577,0.019169284,0.017359785,0.024744414
-0.175183497,0.031451444,-0.142283932,0.025166383
0.080595839,0.023608939,-0.056587531,0.036328034
-0.087074326,0.013119153,-0.118343899,0.034598655
-0.020526827,0.026442147,-0.058502547,0.02062844
0.068252048,0.027761279,0.054733734,0.022712297
0.108976743,0.024013128,0.078888466,0.022614792
-0.074838509,0.017381478,-0.057600807,0.022000727
-0.002693461,0.017769879,-0.089179564,0.033434469
0.017750385,0.011979447,-0.051779846,0.036220643
-0.009822632,0.026273332,-0.001947974,0.039539088
-0.031238809,0.019572702,-0.063316859,0.02532697
-0.020445947,0.018390731,-0.046649933,0.033693657
0.022142477,0.021992291,0.032869831,0.026513358
-0.152082233,0.027180064,-0.019889995,0.034081319
-0.035207049,0.016385074,0.08305806,0.025279649
-0.044386566,0.024567053,-0.015156499,0.034381662
0.006678911,0.019499751,-0.05550845,0.03678659
-0.011056636,0.03043453,-0.14891551,0.024550714
0.152095722,0.022734616,0.09151418,0.01839061
0.036368379,0.019957026,-0.081396435,0.032342544
0.018379269,0.01331196,0.071442478,0.0314588
-0.00375187,0.022294096,-0.084077075,0.038034435
-0.014310936,0.021949082,0.057667066,0.025693901
-0.084889378,0.027058594,0.100828854,0.021691201
-0.102676362,0.034243441,0.066069736,0.021578506
-0.049124738,0.011521323,0.001693604,0.018293745
-0.119193612,0.023978509,-0.066142618,0.031959522
-0.048446544,0.019031616,-0.094928202,0.0271664
0.059425821,0.023765935,0.122135758,0.027703649
0.007399653,0.021919224,-0.166381104,0.02933919
-0.023904328,0.013269716,-0.137776717,0.039437697
-0.035966441,0.015541406,-0.016736498,0.034866678
-0.055629338,0.028052744,0.005849301,0.021866039
-0.088776135,0.027715848,-0.03923376,0.034627727
0.042581962,0.011168514,-0.028270663,0.024905692
-0.103995321,0.017740296,0.027696714,0.033344917
-0.161419948,0.014898703,-0.065015051,0.021673718
-0.034477426,0.025944113,0.019016566,0.017609342
-0.059530812,0.016266144,-0.128024397,0.043086108
-0.042933142,0.032840345,-0.059977725,0.025034321
-0.02648179,0.025128272,-0.226198546,0.03665937
0.027843097,0.017158339,-0.150627006,0.035459813
0.285909918,0.031917497,0.245351914,0.028726877
-0.03484572,0.018376867,-0.07257487,0.021015558
-0.019329784,0.015645841,-0.053280608,0.025887971
0.077428358,0.021903746,0.188154944,0.037165459
-0.082806143,0.029948856,-0.018066265,0.019545994
-0.024177951,0.023935989,-0.014888799,0.027146419
0.04058506,0.017193207,-0.013066404,0.033917378
-0.037915215,0.018589936,0.129608501,0.029734421
-0.127084379,0.025672012,-0.055219706,0.02142473
0.100635357,0.019943069,0.024282742,0.034700853
-0.009129329,0.016605538,-0.12060251,0.033841233
